Track,Year,Driver,X,Y,Speed,DRS
Australian Grand Prix,2022,LEC,998.4302382243948,9551.13619469949,287.0,Off
Australian Grand Prix,2022,LEC,1009.0,9503.0,288.63005982211206,Off
Australian Grand Prix,2022,LEC,1049.0,9330.0,291.17341210963707,Off
Australian Grand Prix,2022,LEC,1075.0094040912493,9209.819535181425,293.0,Off
Australian Grand Prix,2022,LEC,1089.0,9138.0,293.5125008,Off
Australian Grand Prix,2022,LEC,1103.752865978884,9057.137226080156,294.0,Off
Australian Grand Prix,2022,LEC,1145.0,8815.0,296.7750016,Off
Australian Grand Prix,2022,LEC,1147.379566210934,8800.551209907248,297.0,Off
Australian Grand Prix,2022,LEC,1165.526816340044,8624.103739561915,299.0,Off
Australian Grand Prix,2022,LEC,1166.0,8584.0,299.0,Off
Australian Grand Prix,2022,LEC,1164.7395409599417,8327.35361362101,299.0,Off
Australian Grand Prix,2022,LEC,1164.0,8284.0,299.21000064,Off
Australian Grand Prix,2022,LEC,1160.183780780918,8197.035598471986,300.0,Off
Australian Grand Prix,2022,LEC,1156.0,8150.0,301.0166677333333,Off
Australian Grand Prix,2022,LEC,1150.8477733327632,8079.407501647463,302.0,Off
Australian Grand Prix,2022,LEC,1133.0,7848.0,302.5500002909091,Off
Australian Grand Prix,2022,LEC,1108.212037353508,7591.969613261173,303.0,Off
Australian Grand Prix,2022,LEC,1108.0,7590.0,303.0166677333333,Off
Australian Grand Prix,2022,LEC,1088.4172073133625,7463.068324046368,305.0,Off
Australian Grand Prix,2022,LEC,1083.0,7441.0,305.10500032,Off
Australian Grand Prix,2022,LEC,1018.0,7214.0,305.80249984,Off
Australian Grand Prix,2022,LEC,989.5234801201984,7131.018772586117,306.0,Off
Australian Grand Prix,2022,LEC,908.3789602064928,6911.689162451298,307.0,Off
Australian Grand Prix,2022,LEC,895.0,6875.0,307.0,Off
Australian Grand Prix,2022,LEC,850.9888322719142,6747.473852514499,307.0,Off
Australian Grand Prix,2022,LEC,819.0,6648.0,307.90500096,Off
